date,highest price,lowest price,close price,volumn,RSI_6,RSI_7,RSI_8,RSI_9,RSI_10,RSI_11,RSI_12,RSI_13,RSI_14,RSI_15,RSI_16,CMO_6,CMO_7,CMO_8,CMO_9,CMO_10,CMO_11,CMO_12,CMO_13,CMO_14,CMO_15,CMO_16,WILLR_6,WILLR_7,WILLR_8,WILLR_9,WILLR_10,WILLR_11,WILLR_12,WILLR_13,WILLR_14,WILLR_15,WILLR_16,CCI_6,CCI_7,CCI_8,CCI_9,CCI_10,CCI_11,CCI_12,CCI_13,CCI_14,CCI_15,CCI_16,ROC_6,ROC_7,ROC_8,ROC_9,ROC_10,ROC_11,ROC_12,ROC_13,ROC_14,ROC_15,ROC_16,PPO_6,PPO_7,PPO_8,PPO_9,PPO_10,PPO_11,PPO_12,PPO_13,PPO_14,PPO_15,PPO_16,MACD_6,MACD_7,MACD_8,MACD_9,MACD_10,MACD_11,MACD_12,MACD_13,MACD_14,MACD_15,MACD_16,EMA_6,EMA_7,EMA_8,EMA_9,EMA_10,EMA_11,EMA_12,EMA_13,EMA_14,EMA_15,EMA_16,TEMA_6,TEMA_7,TEMA_8,TEMA_9,TEMA_10,TEMA_11,TEMA_12,TEMA_13,TEMA_14,TEMA_15,TEMA_16,WMA_6,WMA_7,WMA_8,WMA_9,WMA_10,WMA_11,WMA_12,WMA_13,WMA_14,WMA_15,WMA_16,SMA_6,SMA_7,SMA_8,SMA_9,SMA_10,SMA_11,SMA_12,SMA_13,SMA_14,SMA_15,SMA_16
2020-01-02,3.8,3.65,3.7,32807886.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-03,3.7,3.64,3.68,18215328.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-06,3.69,3.6,3.64,18085366.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-07,3.7,3.63,3.69,14506718.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-08,3.68,3.58,3.6,16030049.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-09,3.68,3.62,3.66,11704023.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-63.63636363636356,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-27.272727272726723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.661666666666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6523809523809527,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.661666666666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-10,3.69,3.63,3.65,8307494.0,40.74074074074069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.518518518518615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-41.666666666666856,-68.18181818181822,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.384615384617435,-17.500000000000224,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.3513513513513598,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6583333333333337,3.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.649047619047619,3.6517857142857144,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6533333333333338,3.66,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-13,3.65,3.59,3.64,7591251.0,39.007092198581546,39.28571428571427,nan,nan,nan,nan,nan,nan,nan,nan,nan,-21.985815602836905,-21.42857142857146,nan,nan,nan,nan,nan,nan,nan,nan,nan,-50.00000000000001,-50.00000000000001,-72.72727272727268,nan,nan,nan,nan,nan,nan,nan,nan,-80.95238095237768,-91.05691056910445,-93.02325581395348,nan,nan,nan,nan,nan,nan,nan,nan,-1.0869565217391353,-1.6216216216216273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.653095238095238,3.6550000000000002,3.6575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.645238095238095,3.646785714285714,3.649166666666667,nan,nan,nan,nan,nan,nan,nan,nan,3.646666666666667,3.6514285714285717,3.6575,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-14,3.66,3.62,3.63,7802801.0,37.11201079622127,37.71428571428566,37.93103448275858,nan,nan,nan,nan,nan,nan,nan,nan,-25.77597840755746,-24.57142857142867,-24.137931034482854,nan,nan,nan,nan,nan,nan,nan,nan,-58.33333333333352,-58.33333333333352,-58.33333333333352,-77.27272727272732,nan,nan,nan,nan,nan,nan,nan,-31.111111111110475,-35.220125786162356,-46.153846153843986,-57.9545454545476,nan,nan,nan,nan,nan,nan,nan,-0.27472527472528485,-1.3586956521739246,-1.8918918918918948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6464965986394557,3.64875,3.651388888888889,3.6544444444444446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.64047619047619,3.641428571428571,3.6430555555555557,3.6453333333333338,nan,nan,nan,nan,nan,nan,nan,3.645,3.6442857142857146,3.64875,3.6544444444444446,nan,nan,nan,nan,nan,nan,nan
2020-01-15,3.63,3.55,3.58,9208136.0,28.735632183908027,30.57915057915056,31.687242798353886,32.352941176470566,nan,nan,nan,nan,nan,nan,nan,-42.52873563218393,-38.841698841698886,-36.62551440329222,-35.29411764705886,nan,nan,nan,nan,nan,nan,nan,-78.57142857142841,-79.99999999999989,-79.99999999999989,-79.99999999999989,-87.9999999999999,nan,nan,nan,nan,nan,nan,-152.94117647058593,-153.58649789029428,-171.63120567375793,-172.94117647058604,-158.9743589743604,nan,nan,nan,nan,nan,nan,-2.981029810298097,-1.6483516483516536,-2.717391304347827,-3.2432432432432434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6274975704567543,3.6315625000000002,3.635524691358025,3.639555555555556,3.647,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6219047619047613,3.6253571428571427,3.627777777777778,3.630444444444445,3.633454545454546,nan,nan,nan,nan,nan,nan,3.6266666666666665,3.635714285714286,3.6362500000000004,3.6411111111111114,3.647,nan,nan,nan,nan,nan,nan
